Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
2;23;kunst en menswetenschappen;talen;Lessen Nederlands voor medisch, paramedisch en administratief personeel in de Brusselse ziekenhuizen (Kliniek Sint-Jan) - voorjaar 2016
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Les 4 saisons de la santé mentale et psychiatrie - posture professionnelle et fonctions soignantes en psychiatrie
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Staltechnieken voor rundvee
7;73;techniek, fabricage en constructie;architectuur en constructie;Grijswerk/lijmspuiter basis
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Service Now
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ULTRASONIC LEVEL 2 LIMITED
7;72;techniek, fabricage en constructie;fabricage en verwerking;Intro Project Quality Enigneer (Bedrijfsinterne opleiding bij VCST Industrial Products)
9;91;welzijn en gezondheid;gezondheid;Soins intensifs et soins d'urgences - SISU
2;23;kunst en menswetenschappen;talen;Duits basis
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Gespecialiseerd ondernemer voor het auto- en motorbedrijf
9;91;welzijn en gezondheid;gezondheid;Certificat interuniversitaire en psycho-oncologie
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Werken met de bulldozer 1 volledige dag
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Functionering afdeling energie en fluida summer programma
4;41;handel, administratie en recht;handel en administratie;Opleiding IS / IT HR coördinator
4;41;handel, administratie en recht;handel en administratie;Customs update LS - TO, LS Inbound / outbound
4;41;handel, administratie en recht;handel en administratie;De euro
7;72;techniek, fabricage en constructie;fabricage en verwerking;KITTINGPROCES
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Graissage - Lubrification
7;71;techniek, fabricage en constructie;techniek en technische beroepen;FANUC - Elektrisch
4;41;handel, administratie en recht;handel en administratie;Logistiek Logistique Douaneformaliteiten
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Samenwerken over de culturen heen 2 volledige dagen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Usinage CN tournage : environnement
4;41;handel, administratie en recht;handel en administratie;Vorming op maat van de Colruytgroep 
9;91;welzijn en gezondheid;gezondheid;Referentieverpleegkundige prostaat 
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;MONTEREN BULTANK OP CHASSIS
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;MTM-1
2;23;kunst en menswetenschappen;talen;Lessen Nederlands voor verpleegkundigen en paramedische personeel in de Brusselse ziekenhuizen (Brussels Heart Center)
10;101;diensten;persoonlijke diensten;Begrafenisondernemer
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Nuclear Engineering
2;23;kunst en menswetenschappen;talen;LANGUES - Néerlandais
10;104;diensten;transportdiensten;Nascholing vakbekwaamheid
7;71;techniek, fabricage en constructie;techniek en technische beroepen;CND Radiologie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;HOOGSPANNING 2 - TRANSFORMATOREN GEVORDERDE-HS KABELS
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;ECODRIVE SUR SIMULATEUR ET SUR LA VOIE PUBLIQUE
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Matériaux et collage
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Certificat universitaire en clinique psychothérapeutique d'orientation systématique
4;41;handel, administratie en recht;handel en administratie;Gestion de projet
10;101;diensten;persoonlijke diensten;Basismodule voor poetspersoneel, Antwerpen
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Transmissions
4;41;handel, administratie en recht;handel en administratie;QUALITE - Sensibilation à la gestion de la qualité
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;INDUSTRIËLE HYDRAULICA(16/0173)
4;41;handel, administratie en recht;handel en administratie;Manager la fonction maintenance
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Découverte du métier d'opérateur de production dans le secteur brassicole
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Formation d’Eco-conseiller
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Carrosserietechnicus
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Environmental Technology and Engineering (EM)
4;41;handel, administratie en recht;handel en administratie;Teamleader in de logistiek
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Outilleur-Ajusteur - Fraisage CNC 3 axes
4;41;handel, administratie en recht;handel en administratie;Vorming voor de grensarbeider - Deel 2
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Borstelschuurmachine instellen/bedienen
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kleeftechniek SCA (in praktijk)
5;51;natuurwetenschappen, wiskunde en statistiek;biologische wetenschappen en aanverwanten;Biowetenschappen
9;91;welzijn en gezondheid;gezondheid;Bij - en nascholing Sportvoedingsadvies op maat geven - sportdiëtetiek
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Milieuwetenschap
9;92;welzijn en gezondheid;welzijn;Bachelor na Bachelor : Autismespectrumstoornissen: een orthopedagogische perspectief
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Robotique : programmantion
4;41;handel, administratie en recht;handel en administratie;OPLEIDING INKOOPSTRATEGIE EN MANAGEMENT
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Fietshersteller
9;92;welzijn en gezondheid;welzijn;Beroepsopleiding Maatschappelijk Werk 2016-2017 (modulair systeem)
4;41;handel, administratie en recht;handel en administratie;Middenkader
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;The exploration for emerging leaders
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Peterschapsopleiding 1d
10;101;diensten;persoonlijke diensten;Bij- en nascholing hoe kan voeding topprestaties beïnvloeden?
9;91;welzijn en gezondheid;gezondheid;Bachelor in de verpleegkunde (Brugopleiding van HBOB5 verpleegkunde naar bachelor in de verpleegkunde)
9;91;welzijn en gezondheid;gezondheid;Tandartsassistenten, traject werkende student ( 4modules)
9;91;welzijn en gezondheid;gezondheid;Bachelier de spécialisation en gérontologie psycho-éducative
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Bio-ingenieurswetenschappen: biosysteemtechniek
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Dieren in de zorg- en welzijnssector Module 1 + Module 2
4;41;handel, administratie en recht;handel en administratie;Management, zorg en beleid in de gerontologie
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Lean Introductie Value Stream Mapping en Lean Lay Out
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Maritieme opleiding motoren
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Chariot élévateur
5;54;natuurwetenschappen, wiskunde en statistiek;wiskunde en statistiek;Statistics
2;23;kunst en menswetenschappen;talen;module 675 taal vervolmaking Nederlands
4;41;handel, administratie en recht;handel en administratie;SAP admin-HR
2;23;kunst en menswetenschappen;talen;Espagnol débutant
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Onderhoud en afstellen van maaidorsers 3 volledige dagen
9;92;welzijn en gezondheid;welzijn;Bachelor in het sociaal werk, SWITCH traject (= deeltijds traject)
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Formation continue en santé mentale et psychiatrie : Module de formation 3 - Geriatrie- (32h)
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Snoeien van heesters
9;91;welzijn en gezondheid;gezondheid;Postgraduaat oncologie
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Initiation à l'informatique
7;71;techniek, fabricage en constructie;techniek en technische beroepen;VERVOLMAKING PICKER
9;91;welzijn en gezondheid;gezondheid;Ontspanningskinesi- en relaxtherapie: module 3
0;3;algemene programma's en kwalificaties;persoonlijke vaardigheden en ontwikkeling;Vorming voor leidinggevenden
9;91;welzijn en gezondheid;gezondheid;Permanente vorming Radioprotectie, radiotherapie en nucleaire geneeskunde
3;32;sociale wetenschappen, journalistiek en informatie;journalistiek en informatie;Bibliotheekwezen en documentaire informatiekunde
7;72;techniek, fabricage en constructie;fabricage en verwerking;Kwaliteitszorg Sécurité alimentaire et qualité Améliorer et simplifier son système HACCP
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Peri-operatieve zorg
4;42;handel, administratie en recht;recht;Diplôme international de droit fiscal européen
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;SENSIBILISERING NUCLEAIRE VEILIGHEID
2;21;kunst en menswetenschappen;kunst;Toegepaste audiovisuele communicatie
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Freelance onder windows
7;72;techniek, fabricage en constructie;fabricage en verwerking;Traçage
4;41;handel, administratie en recht;handel en administratie;PROJECT MANAGEMENT MASTERCLASS REEKS 3
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Astronomy and Astrophysics
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Teeltmedewerker in de glasgroenteelt (paprika-, tomaat-, komkommer- en slateelt) 1d
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Certificat d'université en traitements cognitivo-comportementaux de l'insomnie
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Gewasbeoordelingen 1 volledige dag
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Lastechnieken
2;21;kunst en menswetenschappen;kunst;Hersteller van tokkelinstrumenten
10;101;diensten;persoonlijke diensten;Maatwerk herenpatronen
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Certificat en radioprotection conformément à l'AR du 20/07/2011 art. 53?2. Agréation de la formation par l'agence fédérale de contrôle nucléaire
7;70;techniek, fabricage en constructie;techniek, fabricage en constructie;Metrologie des Etats de surface
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Webmaster
7;71;techniek, fabricage en constructie;techniek en technische beroepen;LASOPLEIDING
7;71;techniek, fabricage en constructie;techniek en technische beroepen;FANUC : base
7;72;techniek, fabricage en constructie;fabricage en verwerking;Technologie de la boucherie
5;54;natuurwetenschappen, wiskunde en statistiek;wiskunde en statistiek;Wiskunde - doorstroom
9;91;welzijn en gezondheid;gezondheid;Inwerkingstraject polyvalent verzorgende te Antwerpen
9;92;welzijn en gezondheid;welzijn;"Schakelprogramma naar de master sociaal werk voor de professionele bachelors sociaal werk, orthopedagogie, gezinswetenschappen en verpleegkunde; afstudeerrichting sociale verpleegkunde"
9;91;welzijn en gezondheid;gezondheid;Brugtraject bachelor in de verpleegkunde basistraject (1ste jaar), Brugtraject bachelor in de verpleegkunde : keuzetraject geriatrische verpleegkunde,keuzetraject psychiatrische verpleegkunde, keuzetraject sociale verpleegkunde en keuzetraject ziekenhuis
9;91;welzijn en gezondheid;gezondheid;Modules de formation continuées pour les infirmières exerçant en MR-MRS, dans les structures de soins à domicile et dans les services de gériatrie
9;92;welzijn en gezondheid;welzijn;Postgraduaat Equicoaching Level 1
9;91;welzijn en gezondheid;gezondheid;Omgaan met palliatieve situaties, Hasselt
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Beroepsopleiding Snijwerk
9;92;welzijn en gezondheid;welzijn;Beroepsopleiding CAW Maatschapelijk Werk 2017-2018
9;92;welzijn en gezondheid;welzijn;BASE ETA (entreprise de travail adapté)
2;23;kunst en menswetenschappen;talen;Perfectionnement en langue anglais
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;formation professionnelle patronage
9;91;welzijn en gezondheid;gezondheid;Développement et perfectionnement en soins infirmiers prépiopératoire
9;91;welzijn en gezondheid;gezondheid;Permanente vorming pediatrie en neonatologie module 2
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;#NAAM?
7;72;techniek, fabricage en constructie;fabricage en verwerking;Laders uitgaande goederen (120u)
4;41;handel, administratie en recht;handel en administratie;Opleiding TO - TM coördinatoren.
5;53;natuurwetenschappen, wiskunde en statistiek;fysische wetenschappen;Physique et technologie du vide
9;91;welzijn en gezondheid;gezondheid;Postgraduaat manuele therapie
5;51;natuurwetenschappen, wiskunde en statistiek;biologische wetenschappen en aanverwanten;Postgraduaat Forensisch onderzoek
5;52;natuurwetenschappen, wiskunde en statistiek;milieu;Aanvullende vorming voor milieucoördinatoren – niv. A via overgangsniveau
4;41;handel, administratie en recht;handel en administratie;Leidinggeven voor eerstelijnsverantwoordelijken Van Hool nv
7;72;techniek, fabricage en constructie;fabricage en verwerking;INPAKKER
7;72;techniek, fabricage en constructie;fabricage en verwerking;Aannemer parket, laminaat en houten vloeren
10;101;diensten;persoonlijke diensten;Ceremoniemeester
9;91;welzijn en gezondheid;gezondheid;permanente vorming coordinator klinische studies
9;91;welzijn en gezondheid;gezondheid;Nutritie  Nutrition Le rôle des aliments santé et compléments alimentaires dans la lutte contre l'obésité et le diabète sucré
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;B01 - brandweerman deel 2 - hulpverlening
10;104;diensten;transportdiensten;Formation de formateurs et de formatrices
9;91;welzijn en gezondheid;gezondheid;Medische pedicure en podotherapie voor verpleegkundigen en paramedici
9;91;welzijn en gezondheid;gezondheid;Pediatrie en neonatologie
